"rank","team","division","eval","eval_strength","eval_resume","estimate_spread","std.error_spread","statistic_spread","p.value_spread","percentile_spread","scale_spread","estimate_possessions","std.error_possessions","statistic_possessions","p.value_possessions","percentile_possessions","scale_possessions","estimate_wins","std.error_wins","statistic_wins","p.value_wins","percentile_wins","scale_wins","estimate_bt","std.error_bt","statistic_bt","p.value_bt","percentile_bt","scale_bt","logo","background"
NA,"#Home Advantage",NA,NA,NA,NA,1.87250466007737,2.48931324718318,0.752217368463461,0.452119912434001,0.774039824801034,0.55143281761846,0.25281141479738,0.374116599474146,0.675755673906821,0.499371918661028,0.750402109095283,0.52527640398555,0.178936783084961,0.656987615854273,0.27235944600309,0.785345651788148,0.607327174105926,0.510534996146482,NA,NA,NA,NA,NA,NA,NA,NA
NA,"#Away Disadvantage",NA,NA,NA,NA,-1.87250466007744,2.48931324718318,-0.752217368463492,0.452119912433983,0.225960175198957,0.38902708176423,-0.252811414797381,0.374116599474146,-0.675755673906824,0.499371918661027,0.249597890904716,0.376613220583904,-0.17893678308497,0.656987615854274,-0.272359446003104,0.785345651788138,0.392672825894069,0.42644826995582,NA,NA,NA,NA,NA,NA,NA,NA
1,"DET","NFC North",97.3865912040775,100,94.773182408155,12.2162789725946,4.86654732175194,2.51025586826037,0.0122413701148611,0.993967814498882,1,1.86740813202043,0.731388923131325,2.55323545785383,0.0108390612914004,0.994663634035204,1,2.02430639866054,1.31438787933091,1.54011340981858,0.123532711618862,0.938233644190569,0.944126924285126,1.86007802262763,0.526626696276823,3.53206177312719,0.000412333022435981,0.999793833488782,0.951336723877975,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/DET.png","#3274B1"
2,"PHI","NFC East",95.5919384113455,91.183876822691,100,10.1807210725899,4.76229661982891,2.13777550734663,0.0328077500652337,0.983732516107461,0.911726180000404,1.56794323914426,0.715721180977794,2.19071795109121,0.0287317909438668,0.985763895379177,0.911951356453415,2.26210251422848,1.30077487421438,1.7390422886164,0.0820273247201599,0.95898633763992,1,2.0447760296036,0.523593162864793,3.90527641425987,9.41177429346843e-05,0.999952941128533,1,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/PHI.png","#1E4B53"
3,"BAL","AFC North",83.0385398547617,89.9137836107665,76.1632960987568,10.0204365631129,4.84120352668259,2.06982344532401,0.0387578758355266,0.980765559506523,0.904775296442504,1.50518905315785,0.727580027469101,2.0687608185091,0.0388577773166044,0.980715731564749,0.893500375772826,1.27255032740427,1.25547602120774,1.01359986643162,0.310773721445573,0.844613139277213,0.767492735841381,1.11783050998678,0.468404710249122,2.38646299989652,0.0170113190612655,0.991494340469367,0.755773186133755,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/BAL.png","#22176E"
4,"BUF","AFC East",82.4153999136889,84.4635275440972,80.3672722832806,8.87994329290668,4.81511924826613,1.84417931001486,0.0654903407240465,0.967421493701512,0.855316768318739,1.30266334193295,0.72365984524537,1.80010449728803,0.0721838152771204,0.96407793018864,0.833953782563205,1.44489524729686,1.28121692010713,1.12775223665954,0.259424570077133,0.870287714961434,0.807987260889589,1.28325427560198,0.486055786531572,2.64013784252854,0.00828723128651961,0.99585638435674,0.799358184776023,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/BUF.png","#123288"
5,"KC","AFC West",82.1291299599285,66.4164929965699,97.8417669232873,3.75454756083803,4.78940892437887,0.78392712339236,0.433292156476557,0.783458563267956,0.633049320029362,0.831017600606484,0.719795864304055,1.15451844310048,0.248598628685026,0.875856159137507,0.695280539902035,2.16298480594253,1.30381401914717,1.65896728688141,0.0971223843992231,0.951438807800388,0.976711094684961,1.96933900905398,0.523377556266384,3.76275020866894,0.000168055035756815,0.999915972482122,0.980124243780784,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/KC.png","#D0343E"
6,"MIN","NFC North",75.515481792819,69.0736484964395,81.9573150891985,4.84978184188552,4.83092891320523,1.00390254731937,0.315699370504389,0.84228720568354,0.680545150917961,0.850224731633576,0.726035865255121,1.17105059449758,0.241892934025696,0.879210779511998,0.700927819010829,1.48530361112008,1.29101950400944,1.15048890160626,0.249942562734034,0.875028718632983,0.817481695085945,1.36791671512676,0.509959922178602,2.6824004311611,0.00730959074502285,0.996345204627489,0.821664606698025,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/MIN.png","#4A287E"
7,"GB","NFC North",72.4130886794954,77.40627023888,67.4199071201109,7.45707445466264,4.84992100159198,1.53756616906025,0.124511351181641,0.937922637668074,0.793612766821214,1.03247367288876,0.728890168759191,1.41650102737202,0.15697995088323,0.921685568210931,0.754512637956385,0.879407938806899,1.27126384555727,0.691758789397021,0.489088820642394,0.755455589678803,0.675119172915995,0.804729571948061,0.4788413224818,1.68057670498696,0.0928451637327357,0.953577418133632,0.673278969486223,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/GB.png","#253631"
8,"WAS","NFC East",71.5131760861972,67.5952890874579,75.4310630849366,4.38536638491238,4.81786321649542,0.910230570659985,0.362948201353615,0.818649537455638,0.660405352166089,0.818160953574434,0.724072233708,1.1299438308587,0.25880535366267,0.870750053357896,0.691500429583069,1.25580151913634,1.27738580370436,0.983102767773508,0.325556862236704,0.837221568881648,0.763557400605761,1.0771840276963,0.478732244914857,2.25007619423646,0.024444108967596,0.987777945516202,0.74506386109297,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/WAS.png","#521A17"
9,"TB","NFC South",63.7564303738084,70.6858354068271,56.8270253407898,5.95299175542644,4.86724538194276,1.22307204348311,0.221627329491317,0.889348756653738,0.728386852364751,0.797174029177337,0.731493833955671,1.08978913036968,0.276102017040542,0.862096978432602,0.68532985577179,0.433645435901052,1.25541020688962,0.345421308127998,0.729777660295877,0.635111169852062,0.570381877202708,0.398161932902437,0.463928993981389,0.858238950502864,0.390760532228911,0.804619733885545,0.566158629613087,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/TB.png","#C32C20"
10,"DEN","AFC West",61.6974368332678,68.5988264223077,54.7960472442279,4.98769714339941,4.85918268431488,1.02644775210847,0.304960411928234,0.847659710345438,0.686525973424164,0.797584543031671,0.730282098541279,1.09215951565132,0.275059544527751,0.862618503223821,0.68545055502199,0.367499452928095,1.25015201708815,0.293963812324259,0.768785555828487,0.615607222085757,0.554840077850537,0.302981066818624,0.456290702807156,0.664008854343619,0.506684644052202,0.746657677973899,0.541080867034021,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/DEN.png","#E85C2F"
11,"LAC","AFC West",60.044347226447,62.7363823168873,57.3523121360068,3.74307258243411,4.85909051655322,0.770323699400694,0.441313017406894,0.779446049236239,0.632551697152546,0.582379375803044,0.730268246733109,0.797486921290015,0.425381724973972,0.787415852193389,0.622175949185199,0.469778836785642,1.25334064936031,0.374821352060519,0.707793333396976,0.646103333301512,0.57887185711108,0.405812591564866,0.462502500734991,0.877427886162701,0.380254272081449,0.809872863959275,0.568174385609055,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/LAC.png","#377EBF"
12,"LA","NFC West",58.4545637050022,54.2774889539919,62.6316384560124,1.44365738322457,4.82370984112306,0.29928362832215,0.764793755021905,0.617638177422379,0.532835465352463,0.346131315827249,0.72495091754844,0.477454828249281,0.633155904321703,0.683480860143526,0.552714313727375,0.676929021132693,1.24720958963795,0.542754823853783,0.587298621515088,0.706350689242456,0.627544300337202,0.621825950483444,0.462787428902457,1.34365350406808,0.179060459243341,0.910469770378329,0.625088468783046,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/LA.png","#F8D347"
13,"PIT","AFC North",55.2147624947885,53.8832436508793,56.5462813386977,1.86873385490596,4.8694145791231,0.383769716983614,0.701241104864527,0.649425432542421,0.551269293222051,0.256617877345204,0.731819840605746,0.350657174220359,0.72592881766981,0.637077221082323,0.526395579795535,0.451543910068482,1.25815576782252,0.358893486495688,0.71967477249556,0.64016261375222,0.574587340357348,0.360889518039492,0.464693026402092,0.776619181987077,0.437383481004072,0.781308259497964,0.556338286416606,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/PIT.png","#E4B043"
14,"SEA","NFC West",54.8627336345236,51.8458181711805,57.8796490978666,1.20592644661679,4.89679578887369,0.2462684781254,0.805531386880055,0.597262795280126,0.522526047032109,0.215786414480737,0.735934937447402,0.293213983330095,0.769427180963271,0.615320701783212,0.514390316391502,0.469056646191327,1.25319956346632,0.374287272247308,0.708190600342465,0.645904699828768,0.578702169689314,0.446486027542577,0.464348948093335,0.961531256560168,0.336285117301323,0.831857441349338,0.578890812268019,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/SEA.png","#092142"
