"rank","team","division","eval","eval_strength","eval_resume","estimate_spread","std.error_spread","statistic_spread","p.value_spread","percentile_spread","scale_spread","estimate_possessions","std.error_possessions","statistic_possessions","p.value_possessions","percentile_possessions","scale_possessions","estimate_wins","std.error_wins","statistic_wins","p.value_wins","percentile_wins","scale_wins","estimate_bt","std.error_bt","statistic_bt","p.value_bt","percentile_bt","scale_bt","logo","background"
9,"JAX","AFC South",65.8604180640298,61.2539964150073,70.4668397130523,3.78692807085663,4.36012820464834,0.868535945071379,0.385410616247519,0.807449498301287,0.591135017724114,0.673700229291601,0.669431843440674,1.0063761320779,0.314596361086991,0.842882664733152,0.633944910576033,0.942507757579666,1.3444559709179,0.701032817710043,0.483282534879358,0.758358732560321,0.70303019614569,0.822402685646594,0.539399992335496,1.52466202694174,0.127343417737501,0.936328291131249,0.706306598115357,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/JAX.png","#2B6576"
10,"KC","AFC West",65.2820052951473,72.9235216084099,57.6404889818847,7.55986110654096,4.34955611063845,1.7380764644122,0.082654724518426,0.95890132932902,0.745081263857525,0.966001736069211,0.667808658054858,1.44652472593408,0.148495647021932,0.925984959001338,0.713389168310673,0.401536913201166,1.32760139815721,0.302452915279031,0.762306821748431,0.618846589125784,0.574370438009229,0.36254420602811,0.521679353509749,0.694956017693607,0.487082865236718,0.756458567381641,0.578439341628465,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/KC.png","#D0343E"
11,"DET","NFC North",63.5756195294325,67.0542335463098,60.0970055125551,6.20932356213629,4.37916767434906,1.41792322739943,0.156676018926419,0.921893409906618,0.689975545506067,0.736853010935586,0.672355066497806,1.09592839803192,0.273502124959633,0.863444944843627,0.65110912542013,0.528521000864998,1.34280759999986,0.393593989835217,0.69388081921347,0.653059590393265,0.604571219023181,0.430621946474204,0.526227716232345,0.8183186350528,0.413175268058397,0.793412365970801,0.597368891227921,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/DET.png","#3274B1"
12,"TB","NFC South",60.0772043342366,54.2983580881674,65.8560505803059,1.64785277332574,4.37492014293383,0.376658937646503,0.706545804562873,0.646786458961556,0.503854748199834,0.482991455506948,0.671702922191055,0.719055164940266,0.472356519776266,0.763946534641286,0.582112413563514,0.832320835254238,1.3343012385087,0.62378780086009,0.532766952246546,0.733616523876727,0.676824305526063,0.585006424671478,0.527156282557091,1.10974002213114,0.267111071357603,0.866444464321199,0.640296706080055,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/TB.png","#C32C20"
13,"BUF","AFC East",58.7907577912997,59.3153037912298,58.2662117913695,3.9414510202975,4.38987938928224,0.897849501268858,0.369586874744756,0.81536710499783,0.597439987301601,0.507840443001258,0.673999688567976,0.753472815514573,0.45142934838279,0.774417079508612,0.588866088522996,0.405513648368995,1.3320805248605,0.304421272438812,0.760806963306494,0.619596518346753,0.57531622980223,0.404149450144897,0.525635563321997,0.768877675609863,0.44196593135099,0.779017034324505,0.590008006025161,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/BUF.png","#123288"
14,"GB","NFC North",57.0083676434099,56.0558000492927,57.960935237527,2.69786901385724,4.37956367540898,0.616013195333963,0.538094094319398,0.731057094528224,0.546698354773313,0.454679880131608,0.672415866480537,0.676188505948601,0.499153272544262,0.750539515375714,0.574417646212542,0.379461613321451,1.34155817302057,0.282851404398722,0.777290747576868,0.611354626211566,0.56912024241583,0.40447476486678,0.532017791303585,0.760265486377268,0.447095907781162,0.776452046109419,0.590098462334711,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/GB.png","#253631"
15,"LAC","AFC West",50.0816402584897,43.4651040970886,56.6981764198908,-0.353008350729365,4.36055917201587,-0.0809548355621031,0.935501938581901,0.467738935278535,0.422214004468295,-0.013807407194927,0.669498011971911,-0.0206235223227315,0.983552089142845,0.491772988177501,0.447088077473478,0.340987773824487,1.34357120728646,0.253792111631479,0.799656167974505,0.600171916012748,0.559969962071336,0.34655553522007,0.53774858822522,0.644456429655796,0.519279502425062,0.740360248787469,0.57399356632648,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/LAC.png","#377EBF"
16,"BAL","AFC North",49.127187873874,47.5601868775443,50.6941888702037,1.51089586677578,4.39875002734595,0.343483002530925,0.731342400457141,0.634382437039899,0.4982665224227,0.00771349058388743,0.675361641086976,0.0114212743434359,0.990890724408347,0.504556330172645,0.452937215128186,0.106140529260508,1.33750041083556,0.0793573806786351,0.936748366976817,0.531625816511592,0.504115954413439,0.115575740280802,0.524913456023098,0.220180563014022,0.825730533664626,0.587134733167687,0.509767822990634,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/BAL.png","#22176E"
17,"CHI","NFC North",46.586807229154,34.1145220214871,59.0590924368208,-3.70552886967748,4.39517986384073,-0.843089244233887,0.399478068829175,0.199589266848235,0.28542176774001,-0.198581085070993,0.674813496393859,-0.294275508910525,0.768638125259205,0.384273692796754,0.396868672689732,0.438328109461919,1.36384321060421,0.321391862388442,0.747913449164547,0.626043275417726,0.583120533253083,0.433112163079247,0.54321679455488,0.79730996431019,0.42527103475378,0.78736448262311,0.598061315483334,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/CHI.png","#0E1629"
18,"PIT","AFC North",46.2291932398692,41.1762727859789,51.2821136937595,-0.751181856876204,4.36331940210494,-0.1721583472697,0.863364798808456,0.431656521480736,0.405967409047349,-0.122458085601734,0.669921803619798,-0.182794596235045,0.855014239621221,0.427479594377468,0.41755804667223,0.131907432453584,1.32665378061395,0.0994286786659139,0.920797913296351,0.539601043351825,0.510244128541854,0.135824485295069,0.523750292573279,0.259330614647944,0.795380160088353,0.602309919955823,0.515398145333336,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/PIT.png","#E4B043"
