"rank","team","division","eval","eval_strength","eval_resume","estimate_spread","std.error_spread","statistic_spread","p.value_spread","percentile_spread","scale_spread","estimate_possessions","std.error_possessions","statistic_possessions","p.value_possessions","percentile_possessions","scale_possessions","estimate_wins","std.error_wins","statistic_wins","p.value_wins","percentile_wins","scale_wins","estimate_bt","std.error_bt","statistic_bt","p.value_bt","percentile_bt","scale_bt","logo","background"
NA,"#Home Advantage",NA,NA,NA,NA,2.19308627939637,2.21828818318801,0.988639030770377,0.323109996505996,0.83858010867257,0.599377637840045,0.336571758557753,0.343217371394526,0.980637306294342,0.327039624979295,0.836614184794184,0.607096716572053,0.344382186499782,0.649029907737424,0.530610658144135,0.595688608388972,0.702155695805514,0.555044489440399,NA,NA,NA,NA,NA,NA,NA,NA
NA,"#Away Disadvantage",NA,NA,NA,NA,-2.19308627939627,2.21828818318801,-0.988639030770329,0.323109996506019,0.161419891327441,0.349438636803826,-0.33657175855774,0.343217371394526,-0.980637306294305,0.327039624979313,0.163385815205825,0.358445577464167,-0.3443821864998,0.649029907737424,-0.530610658144163,0.595688608388953,0.297844304194476,0.358039038018462,NA,NA,NA,NA,NA,NA,NA,NA
1,"PHI","NFC East",95.4766591933127,96.2688111867519,94.6845071998736,8.48356623000826,4.35386736590771,1.94851278576778,0.0516693655645416,0.974323181775108,0.957830538135213,1.31237218168283,0.673637863670034,1.9481864848465,0.0517084463927151,0.974303673312418,0.967545685599826,1.6778362041368,1.23282024725351,1.36097391965674,0.173521931493555,0.913239034253223,0.936448814334444,1.60961533522893,0.48358858429818,3.32848083576027,0.000873210124533434,0.999563394937733,0.957241329663027,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/PHI.png","#1E4B53"
2,"BUF","AFC East",95.3375609210053,100,90.6751218420106,9.22359694023575,4.39860324897754,2.09693769093173,0.0362823712587317,0.982000454264101,1,1.40023186903148,0.680559476610411,2.0574717084324,0.0399333663306825,0.980179563197042,1,1.58708881877356,1.23923170511556,1.28070385241279,0.200297706128451,0.899851146935775,0.910492579779239,1.43338951039494,0.485850518139525,2.95026856384518,0.00317497813384926,0.998412510933075,0.903009857060973,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/BUF.png","#123288"
3,"KC","AFC West",93.393382215296,86.786764430592,100,6.5327968254343,4.35421098228445,1.50033998168983,0.133883010619791,0.933236821115273,0.846669075676598,1.09991408299749,0.67369102858814,1.6326684434296,0.102894460812122,0.948730626111822,0.889066212935243,1.90002189611833,1.27958610853061,1.48487224380717,0.137577669899757,0.931211165050122,1,1.74856015061742,0.522980511900208,3.34345183200835,0.000827430570712347,0.999586284714644,1,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/KC.png","#D0343E"
4,"CIN","AFC North",90.7340165613926,93.2512247860886,88.2168083366966,7.98476285396808,4.39567227443023,1.81650549801351,0.069631045936772,0.965353567337859,0.929407028606146,1.22593673094331,0.680105991176294,1.80256716871874,0.0717963287235761,0.964271891483782,0.935617467115626,1.54326068957853,1.22827209139536,1.25644855109045,0.20895338824195,0.895523305879025,0.897956535936783,1.31435914799696,0.466764163092012,2.81589558909188,0.00486414720036545,0.997567926399817,0.866379630797149,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/CIN.png","#E85C2F"
5,"DAL","NFC East",82.46696429606,87.1478979697655,77.7860306223545,6.9621029751748,4.3912242889701,1.58545829523266,0.113219472399585,0.943568877377344,0.871132397346364,1.05324052897075,0.679417791198852,1.55021040457635,0.121448533066593,0.939454488323726,0.871825562048946,1.14713230644234,1.21513923672515,0.94403363151527,0.345152462392004,0.827423768803998,0.784652982501049,1.00464165074558,0.454915645001095,2.20841305808061,0.0272154923543962,0.986392253822802,0.771067629946041,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/DAL.png","#869397"
6,"SF","NFC West",79.8068573567379,87.2294906736628,72.384224039813,7.09718151232751,4.35362086302784,1.63017904765175,0.103419485772885,0.94846816957939,0.878829630910443,1.03682045185151,0.673599724319561,1.53922339101142,0.124107216868575,0.938125115484011,0.865760182562812,0.862249128648252,1.22261098732731,0.705252232791698,0.480653281080944,0.759673359459528,0.703168600840277,0.9183614186538,0.465379257946825,1.973361302576,0.048454413178992,0.975772793410504,0.744515879955982,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/SF.png","#9C1F14"
7,"MIN","NFC North",62.9681315917393,46.3727927846298,79.5634703988487,-0.771769668618242,4.40042878122568,-0.175385106085793,0.860817161335985,0.430388521411666,0.430430081871785,0.0385898478308509,0.680841926106538,0.0566795997002282,0.95481321870317,0.52259978751628,0.497025773820812,1.1841440940151,1.22746892780668,0.964703926258237,0.334693128140212,0.832653435929894,0.795239366182523,1.08575730936159,0.468933121052418,2.31537773856717,0.0205922687265072,0.989703865636746,0.79603004179445,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/MIN.png","#4A287E"
8,"BAL","AFC North",62.1877852202526,64.9585992839198,59.4169711565854,3.07488050145617,4.42206192030679,0.695349942373229,0.487018557629866,0.756581988514677,0.649625265817956,0.451491580029836,0.684189042674484,0.659893029366507,0.509494171017537,0.745338761112734,0.649546719860439,0.523152322424376,1.20299985297563,0.434873139119971,0.663654512689125,0.668172743655437,0.606177638466687,0.390789826272901,0.439435640024434,0.889299343701781,0.373842224135577,0.813078887932212,0.582161784665021,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/BAL.png","#22176E"
9,"DET","NFC North",58.9038565640923,60.4687979908373,57.3389151373473,2.07120652459469,4.44544563105725,0.465916512424446,0.641389905335319,0.679362369382847,0.592432515696912,0.363228627443903,0.687807010708597,0.528096721593016,0.597564592998035,0.7012838969183,0.616943444119834,0.408014345733771,1.20692345183361,0.338061494383837,0.735316847008693,0.632341576495653,0.573245027601585,0.362751380436329,0.446879320244668,0.811743493159902,0.416938832068077,0.791530583965962,0.57353327514536,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/DET.png","#3274B1"
10,"MIA","AFC East",58.0791065927129,60.0157916260781,56.1424215593477,1.93699893899017,4.42066667287036,0.438168964621904,0.661370731938357,0.669368097749296,0.584784911908449,0.359404671339245,0.683973167586115,0.525466039271189,0.599390879893074,0.700370372161441,0.615530920613114,0.403330372673873,1.20446079060467,0.334863845979902,0.737727795828571,0.631136102085715,0.571905283179128,0.289344489623519,0.441976014600582,0.654661067716541,0.512685996697663,0.743657001651168,0.550943148007826,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/MIA.png","#3E8C95"
11,"NYG","NFC East",53.9166423480683,45.1379135862092,62.6953711099273,-0.85502833871235,4.37760171934822,-0.195318896859273,0.845188136988698,0.422571652202539,0.425685720232567,-0.0154271267329953,0.677310083745559,-0.0227770516093345,0.981833247788153,0.490914056719207,0.477072551491616,0.610870039165003,1.20054602391643,0.508826839617709,0.610873604639235,0.694563197680383,0.631267304921022,0.52232465670037,0.44261480045442,1.18008854689024,0.237964999328625,0.881017500335688,0.622640117277524,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/NYG.png","#A5ACAF"
12,"JAX","AFC South",53.5057387491236,58.6034891995825,48.4079882986646,1.88586215148927,4.37325803845357,0.431225904098751,0.666409137200782,0.666847939787236,0.581870964175463,0.290826101831994,0.67663802195028,0.429810463493824,0.667438149081945,0.666333239590608,0.590198819816187,0.105629255477339,1.20189474886943,0.0878856119279164,0.929967592369391,0.535016203815305,0.486754620222068,0.063379911916038,0.443244670395778,0.142990804287495,0.886297443678698,0.556851278160651,0.481405145751224,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/JAX.png","#2B6576"
13,"NE","AFC East",51.4993754462589,56.6541333011095,46.3446175914084,1.80129784258306,4.44170574054442,0.405541912905351,0.685177236625006,0.657460391773133,0.577052202804809,0.198326192853105,0.687228368401954,0.28858848378783,0.772963887683183,0.613551845338785,0.556030463217381,0.0520517935480507,1.20976213156319,0.0430264695761241,0.965680433717023,0.517159783141489,0.471430000530353,-0.0209215118088577,0.449509775200997,-0.0465429518179057,0.962877500560493,0.481438750280246,0.455462351297815,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/NE.png","#092142"
