"rank","team","division","eval","eval_strength","eval_resume","estimate_spread","std.error_spread","statistic_spread","p.value_spread","percentile_spread","scale_spread","estimate_possessions","std.error_possessions","statistic_possessions","p.value_possessions","percentile_possessions","scale_possessions","estimate_wins","std.error_wins","statistic_wins","p.value_wins","percentile_wins","scale_wins","estimate_bt","std.error_bt","statistic_bt","p.value_bt","percentile_bt","scale_bt","logo","background"
9,"CIN","AFC North",66.7211389414625,57.5211261305421,75.9211517523829,1.32530843223167,5.17137583816077,0.256277724479415,0.797795821045706,0.601131801840928,0.544066006582067,0.360624711892897,0.78276500868081,0.460706224593069,0.645122318749009,0.677495305713323,0.606356516028775,0.595524221019589,1.17568846701696,0.506532332098652,0.612482998196319,0.69375850090184,0.766808062970353,0.551035276314591,0.43829065305157,1.25723711532072,0.208667787288012,0.895666106355994,0.751614972077304,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/CIN.png","#E85C2F"
10,"MIA","AFC East",65.6359884198107,63.0377741401221,68.2342026994993,3.46729180240773,5.11515384774346,0.677847021930204,0.498045468278567,0.751065653290032,0.634281846693536,0.429211016639691,0.774254970309143,0.554353582603824,0.579476623008203,0.710331556817511,0.626473636108905,0.303300249831205,1.18034190737797,0.256959655448447,0.797209917822095,0.601395041088953,0.683629871333284,0.320218457731617,0.445936889822632,0.718080215025452,0.472707828574967,0.763646085712517,0.681054182656702,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/MIA.png","#3E8C95"
11,"JAX","AFC South",63.3396821715464,57.9756786628598,68.7036856802331,1.50346568569759,5.12264485826796,0.293494030387642,0.769213216543135,0.615427719118016,0.55156961586175,0.366036855226958,0.77538884668977,0.472068764968201,0.636993816442202,0.681561146766212,0.607943957395446,0.33999313922576,1.16444802050847,0.291977944260062,0.770303487491011,0.614848256254494,0.694074080182292,0.31676884072327,0.44144107185628,0.717578995065509,0.473016912863424,0.763491543568288,0.67999963342237,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/JAX.png","#2B6576"
12,"HOU","AFC South",63.3180789927358,56.0861669961148,70.5499909893569,1.3754554104359,5.11611361295983,0.268847706382376,0.788109398793198,0.605976560008519,0.546178091965519,0.255578312944943,0.774400245116357,0.330033874029238,0.741452295651946,0.629312816500286,0.575545247956777,0.386593903442879,1.16971015367961,0.330504016081894,0.741019158570884,0.629490420714558,0.70733845161877,0.394170558888161,0.431879547804364,0.912686328611964,0.361407536219982,0.819296231890009,0.703661368168368,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/HOU.png","#0B1F2E"
13,"PIT","AFC North",63.0641204208457,49.9248790448117,76.2033617968797,0.0424929350969904,5.1357390559618,0.00827396692744009,0.993400265329502,0.503300797572665,0.490036512519046,0.0268648606213797,0.777370849176585,0.0345586159422311,0.972439476646978,0.513784149266745,0.508461068377189,0.623279551658292,1.17022278111582,0.532616149434373,0.594299320667972,0.702850339666014,0.774708298537708,0.543655387978161,0.43259360410443,1.25673468775308,0.208849722993964,0.895575138503018,0.749358937399887,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/PIT.png","#E4B043"
14,"GB","NFC North",61.9329446997937,62.4792913014712,61.3865980981162,3.41989255527275,5.09893438950661,0.670707307454425,0.502581604520376,0.748796496629604,0.63228548997085,0.397936025473971,0.771799912938553,0.515594804823012,0.606265920925395,0.696931280230247,0.617300336058574,0.10299459872702,1.16241750514027,0.0886037919005635,0.929396794439883,0.535301602780059,0.626615172074437,0.0587291116483078,0.424699815775867,0.138283817102717,0.890016114713349,0.554991942643326,0.601116789887887,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/GB.png","#253631"
15,"TB","NFC South",60.1674911449139,60.1868466062009,60.1481356836269,2.202424183588,5.11079791824739,0.430935485773082,0.666619980803633,0.66674235982866,0.58100827956391,0.416443056716673,0.773595635289506,0.538321362892419,0.590490260533225,0.704822397342758,0.622728652560107,0.0453771166422501,1.16778030925544,0.0388575798740621,0.96900393736318,0.51549803131841,0.6102150186339,0.0313523225932959,0.426969821970328,0.0734298326954701,0.941464078609752,0.529267960695124,0.592747695038637,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/TB.png","#C32C20"
16,"PHI","NFC East",57.8826727806276,44.8193844062391,70.9459611550161,-1.39587951092267,5.13588224597461,-0.271789625242426,0.785847029257213,0.392891891451545,0.429455286531195,-0.114720902370688,0.777392523124704,-0.147571399207148,0.88271456501897,0.441340514025681,0.466932401593586,0.437196021544461,1.17669496681336,0.371545756440552,0.710231082223154,0.644884458888423,0.721741762406651,0.372960551069583,0.438261002812138,0.851000998666208,0.394768798029977,0.802615600985012,0.697177460693671,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/PHI.png","#1E4B53"
17,"NO","NFC South",57.0194005847573,61.2265187444352,52.8122824250794,2.67908048060121,5.16788012296971,0.518409950860409,0.604301564938719,0.697913863323077,0.601084041532097,0.418889881790222,0.782235879950369,0.535503282995405,0.592436124059664,0.703849055981468,0.623446333356606,-0.218988126444413,1.18025399953313,-0.185543219113037,0.852802984762825,0.426401492381413,0.534966493462544,-0.20243390863982,0.440541849692902,-0.459511187826843,0.645867119821901,0.322933559910951,0.521279155039044,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/NO.png","#CFBD93"
18,"SEA","NFC West",55.9433829856459,43.9908739865297,67.8958919847621,-1.6791123353929,5.1622926749526,-0.3252648466717,0.745057339784204,0.372490316928137,0.417526114922068,-0.130543821457186,0.781390136200061,-0.167066124090109,0.86735609867744,0.433659010209527,0.462291364808525,0.343691606797493,1.18611000554274,0.289763685654288,0.771997031156471,0.614001484421764,0.695126806429198,0.260476466828855,0.448013836778967,0.581402727874597,0.560969059392255,0.719515470303873,0.662791033266043,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/SEA.png","#092142"
19,"IND","AFC South",53.1536456621588,43.7445007711256,62.562790553192,-1.4329638204336,5.14415007826418,-0.27856182238702,0.780646040773195,0.390290557331198,0.427893373313724,-0.182688885359151,0.778643983087478,-0.234624410291792,0.814554409948387,0.407250130835706,0.446996642108788,0.0965320312967661,1.17323126457146,0.082278775047838,0.934425032242247,0.532787483878877,0.62477567660117,0.141697096437691,0.441324400806084,0.32107242694689,0.748155505088624,0.625922247455688,0.626480134462671,"/Users/nicholasschaefer/Desktop/CFB/nfl_logos_resized/IND.png","#0E2B5C"
