"rank","team","conference","eval","eval_strength","eval_resume","estimate_spread","std.error_spread","statistic_spread","p.value_spread","percentile_spread","scale_spread","estimate_possessions","std.error_possessions","statistic_possessions","p.value_possessions","percentile_possessions","scale_possessions","estimate_wins","std.error_wins","statistic_wins","p.value_wins","percentile_wins","scale_wins","estimate_bt","std.error_bt","statistic_bt","p.value_bt","percentile_bt","scale_bt","logo"
18,"Iowa","Big Ten",70.8803798433698,77.6265977618219,64.1341619249178,20.1446020199946,3.6196857269882,5.56529034269397,2.85945254163516e-08,0.999999986914186,0.780871678863904,2.68037805481659,0.526416440943504,5.09174457015915,3.77788358367539e-07,0.999999822608074,0.771660276372533,2.48996001065554,1.26313437130277,1.97125505189716,0.0486947098105429,0.975652645094728,0.60998097503286,1.40209707006515,0.579009107924824,2.42154579414179,0.0154546536729752,0.992272673163512,0.672702263465496,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big Ten/Iowa.png"
19,"North Texas","American Athletic",69.0204080402558,69.5963879319628,68.4444281485488,13.306931464265,3.60389115576614,3.69237884528623,0.000226317626131367,0.999888916906945,0.687430739708173,1.99506497745364,0.524119412252048,3.80650846127069,0.000143898182651229,0.999929528763591,0.704497018931083,2.66131552898411,1.42474599747537,1.86792279725644,0.0617728327386041,0.969113583630698,0.619875021062605,2.07064746849191,0.709448253382693,2.9186730090869,0.00351524748520014,0.9982423762574,0.749013541908371,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/American/North Texas.png"
20,"Washington","Big Ten",67.6696091662912,74.0684715341215,61.2707467984608,17.1574084154399,3.61590187958929,4.74498727752776,2.18754977580014e-06,0.999998957402796,0.740049856055302,2.37079093122268,0.525866150219104,4.50835432216902,6.79583005274164e-06,0.999996733379793,0.741319574627127,1.97325671473701,1.31395543521181,1.50176837193791,0.133156939205236,0.933421530397382,0.580146591854514,1.16175307260336,0.599051401929546,1.93932118155696,0.0524622412536715,0.973768879373164,0.645268344114703,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big Ten/Washington.png"
21,"South Florida","American Athletic",67.6318658854787,72.035384195024,63.2283475759335,15.2271200765715,3.60581202651664,4.22293784717379,2.48661489803983e-05,0.999987943083306,0.713671288419563,2.22504979495113,0.524398767428231,4.24304924640321,2.27509585036937e-05,0.999988974848835,0.727036395480917,2.30977891983523,1.2329354725299,1.87339805796626,0.0610134379969824,0.969493281001509,0.599577341559864,1.33452779747479,0.568480798863484,2.34753363727112,0.0188981666883264,0.990550916655837,0.664989609958805,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/American/South Florida.png"
22,"Arizona","Big 12",67.3569400726656,70.2852247924876,64.4286553528436,14.276424143828,3.65131615029416,3.90993919895923,9.44633137443604e-05,0.999953840322177,0.700679448569565,2.00045281518881,0.531016501865399,3.76721402849337,0.000168407680510184,0.999917460265534,0.705025047280187,2.44267115870082,1.21295978506721,2.0138105061459,0.0440294322624976,0.977985283868751,0.60725052268153,1.47761826557439,0.572063770151197,2.58296075135793,0.00979564660476102,0.99510217669762,0.681322584375342,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big 12/Arizona.png"
23,"Missouri","SEC",66.1309772302352,69.146952642268,63.1150018182025,13.5817179375948,3.59792182467446,3.77487855474004,0.00016333814025165,0.999919957182463,0.691185864487285,1.86503087726137,0.52325128328586,3.56431209408517,0.000370778891366215,0.999817594158077,0.691753188358074,2.35052107170912,1.4303146681709,1.64335941175447,0.100308592636435,0.949845703681782,0.601929788273708,1.29405833764324,0.605894330342973,2.13578221950141,0.0326971690629425,0.983651415468529,0.660370248090342,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/SEC/Missouri.png"
24,"Tennessee","SEC",65.6680864881607,66.9098400195552,64.4263329567661,12.2004974827888,3.58620428077399,3.40206427954954,0.000677975414992114,0.999665605471853,0.672310644421289,1.60109169021854,0.521547182924137,3.06988848303574,0.00216148730815658,0.998929306445167,0.665886155969815,2.7331123564991,1.30318902495697,2.09724936609971,0.0359715065435759,0.982014246728212,0.624020560833672,1.33029183239032,0.620043247056923,2.14548233321569,0.0319143024654099,0.984042848767295,0.66450609830165,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/SEC/Tennessee.png"
25,"Illinois","Big Ten",65.3449814144546,67.0855220154163,63.6044408134928,12.1407479441247,3.62223898100067,3.35172472269366,0.000813532658232799,0.999598450848767,0.67149413052794,1.64527523858149,0.526787764586341,3.1232221953246,0.00180671618141273,0.999105586766408,0.670216309780386,2.24692794948275,1.26007229248951,1.78317384079887,0.0745580093442421,0.962720995327879,0.595948334453777,1.43221872829266,0.584302358989635,2.45116027046207,0.0142396534549061,0.992880173272547,0.676140481816079,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big Ten/Illinois.png"
26,"James Madison","Sun Belt",65.1705652079658,67.9547166849558,62.3864137309757,12.3368843185685,3.6050742918186,3.42208878928403,0.000630145160266962,0.999689289914719,0.67417445372884,1.7953059148607,0.524291477540823,3.42425156953063,0.000625171537526764,0.999691752388241,0.684919879970276,1.64348997944931,1.45804537345727,1.12718712967918,0.259663370885521,0.870168314557239,0.561105902124529,1.52404882644643,0.686678034483711,2.21945183901551,0.0264560002669054,0.986771999866547,0.686622372494986,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Sun Belt/James Madison.png"
27,"Virginia","ACC",64.5706218862976,65.9895425601118,63.1517012124835,10.0283123262999,3.6022781289196,2.7838806353655,0.00540658224271332,0.997314360138228,0.642626409214552,1.71617182767351,0.523884827286461,3.27585709355752,0.00106598757512354,0.999473290754613,0.677164441987684,2.0078087016045,1.1764302859317,1.70669586257241,0.0878785966382176,0.956060701680891,0.58214161922113,1.47384953597677,0.56653288738635,2.60152511670813,0.00928102687202799,0.995359486563986,0.68089240502854,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/ACC/Virginia.png"
28,"LSU","SEC",63.7466193616717,64.1746334384701,63.3186052848732,9.52786334139966,3.60134818882688,2.64563792275339,0.00819832723587029,0.995923148007875,0.635787468559619,1.41557884858532,0.523749584674029,2.70277798781711,0.00691689382092206,0.996561867093002,0.647705200209783,2.48118278204852,1.48764663307723,1.6678576261865,0.0953439931165412,0.952328003441729,0.609474178959419,1.26363790869862,0.5812478237038,2.17400884298633,0.0297044710953616,0.985147764452319,0.656897926738045,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/SEC/LSU.png"
29,"Penn State","Big Ten",62.936135508068,72.5247857969422,53.3474852191937,16.4307043273755,3.62226055840694,4.53603600912732,5.96808852991761e-06,0.999997133930132,0.730119001398939,2.15709647324217,0.526790902621593,4.09478687370511,4.34266558929324e-05,0.999978872154353,0.720376714539904,0.777408049824749,1.19774005352504,0.649062413448377,0.51629803518704,0.74185098240648,0.511098440673509,0.378384926370203,0.556775853201379,0.679600101539147,0.496757705364356,0.751621147317822,0.555851263710366,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big Ten/Penn State.png"
30,"Arizona State","Big 12",62.8447008362228,62.9759007300064,62.7135009424393,7.54262886632319,3.6295541931903,2.07811440878181,0.03778777678157,0.98115058857263,0.608658028455191,1.44776930717834,0.527851627102609,2.74275806465765,0.00613050563576421,0.99695372222089,0.650859986144937,2.14487574464395,1.12175040152114,1.91207931972693,0.0558660209459879,0.972066989527006,0.59005585300958,1.32773426071726,0.545623659272716,2.43342501402349,0.0149567330633798,0.99252163346831,0.664214165839206,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big 12/Arizona State.png"
31,"TCU","Big 12",62.1024042405115,63.933324957729,60.271483523294,9.19449764340654,3.64146977687337,2.52494135796483,0.0116253890044383,0.994214120147222,0.631231822941876,1.41281850550488,0.529584528693329,2.66778659299357,0.007678325924021,0.996182363055816,0.647434676212705,1.74012751113387,1.12207701275149,1.55080933960749,0.120947381744163,0.939526309127918,0.566685741023295,1.10459376250465,0.531098912065844,2.07982682210372,0.0375414199803924,0.981229290009804,0.638743929442585,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big 12/TCU.png"
32,"Iowa State","Big 12",62.0403096067229,63.5935686326465,60.4870505807993,8.79544841344879,3.61550831572481,2.43270036890664,0.0150476034438251,0.992506651511689,0.625778571792568,1.39912642501053,0.525808913623319,2.66090282754856,0.00783668181852231,0.996103427779863,0.646092800860362,1.77697825283437,1.105699060704,1.60710840407422,0.108030590061774,0.945984704969113,0.568813498204221,1.12372377791496,0.546006793221762,2.05807655118048,0.0395827855528449,0.980208607223577,0.640927513411764,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/Big 12/Iowa State.png"
33,"Pittsburgh","ACC",61.4079523815865,65.1008299010102,57.7150748621628,9.75407191400566,3.60146341153755,2.70836346212981,0.00680184066328966,0.996619203617269,0.63887874669259,1.57304884084484,0.523766341689373,3.00334083280549,0.0026934608039139,0.998664834055978,0.663137851327614,1.28218087428684,1.07861708359308,1.18872665173784,0.234547249357137,0.882726375321431,0.54024395993374,0.888320393311429,0.53531977584026,1.65942009505829,0.0970311697605955,0.951484415119702,0.614057537309517,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/ACC/Pittsburgh.png"
34,"SMU","ACC",61.1782456209643,66.2959165543986,56.0605746875299,12.1025819664979,3.59532731083179,3.36619754480655,0.000772183390042379,0.999618939458121,0.670972569162241,1.48945929781335,0.522873959162704,2.84860102843613,0.00442255566018701,0.997804404550122,0.65494576192573,1.05142375161094,1.05950374557757,0.992373793863066,0.321015217755087,0.839492391122457,0.52692007275627,0.715152740934058,0.506148910915579,1.41292952629377,0.157676446466995,0.921161776766502,0.594291420994329,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/ACC/SMU.png"
35,"Louisville","ACC",60.9050746819335,64.0752840832816,57.7348652805853,9.89001332099129,3.59583799689941,2.75040569945564,0.00598960144325716,0.997023923960965,0.640736468943956,1.34480618044651,0.522948229019933,2.57158568634382,0.0101734630754765,0.994938301979307,0.640769212721677,1.2112126713953,1.09391382918518,1.10722859431944,0.268195107687771,0.865902446156114,0.536146264843986,0.927687228576324,0.522264975808108,1.77627693134295,0.0756872835431683,0.962156358228416,0.61855104076772,"/Users/nicholasschaefer/Desktop/CFB/cfb_logos_updated_resized/ACC/Louisville.png"
