"rank","team","conference","eval","eval_strength","eval_resume","estimate_spread","std.error_spread","statistic_spread","p.value_spread","percentile_spread","scale_spread","division_i","estimate_possessions","std.error_possessions","statistic_possessions","p.value_possessions","percentile_possessions","scale_possessions","estimate_wins","std.error_wins","statistic_wins","p.value_wins","percentile_wins","scale_wins","estimate_bt","std.error_bt","statistic_bt","p.value_bt","percentile_bt","scale_bt","logo","background"
9,"Santa Clara","WCC",78.6180664838005,72.0347947557479,85.2013382118532,20.1747740305583,2.99104038845246,6.74506907644822,1.67854743270279e-11,0.999999999992352,0.720534849771117,1,7.08966387863745,1.03876500791112,6.82508924024524,9.68545751095506e-12,0.999999999995607,0.72016104534384,7.25010731662976,4.46043484215674,1.62542612395256,0.104071793246363,0.947964103376818,0.809807340309805,3.38384935040672,1.17979242982003,2.86817347261917,0.00412849102925869,0.997935754485371,0.894219423927259,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Santa Clara.png","#5B6770"
10,"USC","Big Ten",78.423324928303,66.2660413016691,90.5806085549368,16.2072929694642,2.70777786261107,5.98545884921139,2.28746039768718e-09,0.999999998921097,0.660263125916524,1,5.83310675851318,0.940390141081326,6.20285826455589,5.92913415272688e-10,0.999999999722766,0.665057700116859,8.75546723545825,4.67200287700846,1.8740286480869,0.0609264766350164,0.969536761682492,0.875330468706761,3.71124227525856,1.17072150694803,3.17004706348434,0.00152414248765064,0.999237928756175,0.936281702391976,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/USC.png","#990000"
11,"Vanderbilt","SEC",77.7008211100986,69.9620731972184,85.4395690229788,19.0634191771278,2.75633438768587,6.91622150864388,5.13928499021961e-12,0.999999999997681,0.703651776657731,1,6.52934735355681,0.957253443679374,6.82091811386972,9.96860201524883e-12,0.999999999995477,0.695589687286638,7.96384688376309,4.86286044252323,1.63768773089257,0.101486851303128,0.949256574348436,0.840873963457085,3.17912694137706,1.2280173994427,2.58882890651209,0.00963029298126062,0.99518485350937,0.867917417002492,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Vanderbilt.png","#CFAE70"
12,"Indiana","Big Ten",77.4239886184964,68.1613685050621,86.6866087319306,17.5790865819626,3.04932971385865,5.76490187403117,8.59315131356797e-09,0.999999995914732,0.681102637063479,1,6.22229731759483,1.05900843618459,5.8755880548153,4.44854794871653e-09,0.999999997893275,0.682124733037764,7.90002128689599,4.88958377445585,1.6156837987248,0.106162695568723,0.946918652215639,0.838095855227798,3.39487779616625,1.23222094714698,2.75508852858457,0.00586762566709393,0.997066187166453,0.895636319410814,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Indiana.png","#8C1A11"
13,"Nebraska","Big Ten",76.9616125062691,63.6540330069768,90.2691920055615,14.6650375715647,2.53272533827437,5.79022026192403,7.39940845532678e-09,0.999999996485291,0.636834055928773,1,5.17610875684448,0.879595764138273,5.88464493336372,4.21304745896421e-09,0.999999998005453,0.636246604210764,8.81749818446708,4.93144473465309,1.78801520830332,0.0737735542074544,0.963113222896273,0.878030462100802,3.64174841187327,1.16843568771862,3.11677266464174,0.00182842509429879,0.999085787452851,0.927353378010428,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Nebraska.png","#CB2B1D"
14,"UConn","Big East",76.9268590039416,73.9931285764518,79.8605894314313,21.9042729696684,2.72671960648591,8.03319597569394,1.14188815812533e-15,1,0.746808417523475,1,7.38367375086366,0.946968461053856,7.79716965720967,7.45923165648e-15,0.999999999999997,0.733054154005562,6.80093793846577,3.7388568994394,1.81898856291758,0.0689131749825021,0.965543412508749,0.790256545533547,2.70462614994666,0.992105944926749,2.72614650055983,0.00640785501366768,0.996796072493166,0.806955243095079,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/UConn.png","#D12D35"
15,"Florida","SEC",76.9245871337319,78.0096097924307,75.8395644750331,24.0222483274053,2.95868204203816,8.11923957562438,5.68531275698703e-16,1,0.778983498872735,1,8.48177285149782,1.02752720647627,8.25454819885947,1.87189577299075e-16,1,0.781208696975879,5.78891509325259,4.17443534933378,1.38675404187933,0.165516775425529,0.917241612287235,0.746206679452908,2.42153430692952,0.997875945766415,2.42668872539028,0.015237322951684,0.992381338524158,0.770584610047754,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Florida.png","#102F82"
16,"Louisville","ACC",76.2353563925646,79.0790924498311,73.3916203352981,25.1128018769264,2.51051152834707,10.0030617638553,2.28675763547275e-23,1,0.79555057036551,1,8.59174529130712,0.871881081135677,9.85426278560359,9.91626235053389e-23,1,0.786031278631113,3.99268653473316,4.12798336888207,0.967224472082708,0.333431830974888,0.833284084512556,0.668023041773926,2.64900600672508,1.11681012697116,2.37193945752381,0.0176949899112662,0.991152505044367,0.799809364932036,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Louisville.png","#B82629"
17,"Kansas","Big 12",76.177474938955,72.3852322125783,79.9697176653317,20.3971944767052,2.37439651479053,8.59047524271851,1.1009322575864e-17,1,0.723913735140284,1,7.17243800320776,0.824609398118707,8.69798236543412,4.34629445082927e-18,1,0.723790909111282,7.5891819290523,3.90635817504092,1.94277677288842,0.0520431354795182,0.973978432260241,0.824566089422243,2.45456490565947,0.795422723226662,3.08586218872707,0.00202962867672666,0.998985185661637,0.774828263884391,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Kansas.png","#2050B3"
18,"Utah State","Mountain West",75.1887239194421,69.3424598273324,81.0349880115518,18.4504444416171,2.9983662615594,6.1534992166105,8.08807571003902e-10,0.999999999621041,0.694339811856984,1,6.45910522679624,1.04130922652658,6.2028694860809,5.92871403707928e-10,0.999999999722786,0.692509384689663,6.43941777529692,4.72619056963098,1.36249642929648,0.17304127026364,0.91347936486818,0.774520818965354,3.0099249054183,1.1704525771398,2.57159065151837,0.010123250875153,0.994938374562424,0.846178941265682,"/Users/nicholasschaefer/Desktop/CFB/cbk_logos_resized/Utah State.png","#384660"
